rank;best_yield;iteration;repetition;best_unc;max_unc;av_unc;std_unc;av_unc_train;av_unc_test;tota_av_unc
4;0.3893502609541426;127;71;0.2549489711566675;0.29816116963577644;0.2567750373427154;0.020063278659128148;0.1733084350977039;0.26449243299837083;0.2567750373427154
4;0.33581660713869843;128;62;0.22186674085485159;0.25698024370604206;0.22700061727977938;0.014401459176674953;0.1795597383875542;0.23142393054304022;0.22700061727977938
3;0.3566387722840594;127;72;0.2597821863789325;0.26926976285696563;0.23674807619526858;0.016774303524073154;0.1727218587130229;0.24266799673061135;0.23674807619526858
2;0.332205284063399;128;63;0.22505006236420763;0.28421098084086477;0.23760132942096832;0.019694509060293314;0.16120392575209902;0.2447245037132259;0.23760132942096832
16;0.334298137722651;128;65;0.2472139345854476;0.2472139345854476;0.22260714306843413;0.011102974550417734;0.1861734375518991;0.22600416472157725;0.22260714306843413
5;0.29083698363541916;127;73;0.20585210109589444;0.23300748625229828;0.21280929999640374;0.009291602825461586;0.19294397298383759;0.2146460656519042;0.21280929999640374
2;0.4084870508117868;128;64;0.24660023373747145;0.29014952407000344;0.24373734476154038;0.02084972962808292;0.16632120292195401;0.2509555046056584;0.24373734476154038
0;0.3256336301967622;128;66;0.21258252675078615;0.24494117868715737;0.2192908747558879;0.012784342457772017;0.1871906325005913;0.2222838510800472;0.2192908747558879
2;0.40120304815735963;129;60;0.2416113333753011;0.2804124211718042;0.23962482153379383;0.02107135991519264;0.1594486315484175;0.24716275392558137;0.23962482153379383
2;0.3373517229293206;129;61;0.22894539445790377;0.2645819982884846;0.23231118784308183;0.016489894441358132;0.17552685881384902;0.2376498854441208;0.23231118784308183
2;0.4774135788765178;128;70;0.2652890009087081;0.30141685621606473;0.25275181602611135;0.023667013077676432;0.1598195100461769;0.2614166787189024;0.25275181602611135
2;0.41059484319061224;128;67;0.23586116160105924;0.28356321499245796;0.23637082536378087;0.02115330312018003;0.1649927016598192;0.24302600985148126;0.23637082536378087
0;0.3363619459655922;128;68;0.22870586183375452;0.26724876003137743;0.2313697211843755;0.014678442179560627;0.19814004587035314;0.23446800407842308;0.2313697211843755
0;0.36709809923133585;128;69;0.23034041666944827;0.26924355769752706;0.2296881899322798;0.01644276712595369;0.17174688231923368;0.23509054672751753;0.22968818993227982
2;0.37331101546863177;127;77;0.21688968274612128;0.2596847917599149;0.2251551525218792;0.017076320085734793;0.16596372114549168;0.23062804446990934;0.2251551525218792
1;0.3184650723057806;127;74;0.2219328786438767;0.2633852796110291;0.22098049654377525;0.01614383643864803;0.17664514583616198;0.22507978217107946;0.22098049654377525
0;0.31473523322260677;127;76;0.2101678571074999;0.23773599601503387;0.2192887866109113;0.009380492346348598;0.19344916415921254;0.22167794089165163;0.2192887866109113
0;0.3405489155684872;127;75;0.22775972373922587;0.2671425258355929;0.22567819223406047;0.018852335328719022;0.17141474775933044;0.23069543816700133;0.22567819223406047
4;0.38047257748897045;128;71;0.2575579804766269;0.3000508637632381;0.26034431275496367;0.02014972862271413;0.17622401245015215;0.26818755783676457;0.26034431275496367
3;0.36400117014754274;128;72;0.2580846329916706;0.268700439194688;0.2360137388641416;0.016837010997422457;0.17234571683820504;0.24195004554413999;0.2360137388641416
4;0.3387729131047754;129;62;0.22456883515174808;0.26385659495682284;0.2313708833216638;0.014785371091291763;0.1848308456729109;0.23574644241684573;0.2313708833216638
3;0.33167729488872455;129;63;0.2307612399860835;0.2844534445268635;0.24146336106840693;0.01825017047702613;0.16794563240868718;0.24837528427573105;0.24146336106840696
16;0.3386996290855243;129;65;0.2525179895031999;0.2525179895031999;0.22622971224398367;0.011842317788788179;0.19177232845427306;0.22946929533532398;0.22622971224398367
3;0.2865837331231237;128;73;0.20426417610287867;0.2342518225611246;0.2136076521996191;0.009415255675051888;0.1944337419074185;0.2153953975720592;0.21360765219961908
2;0.408898281253701;129;64;0.2452842419933943;0.28932095435677563;0.24269846520981467;0.021116199148501175;0.16538562152602698;0.2499671941031622;0.24269846520981467
3;0.3338760079270199;129;66;0.22108762668303597;0.25044000319819976;0.22228033480786583;0.01379204624576499;0.18894181732036652;0.22541472534087864;0.22228033480786588
3;0.39525814928887903;130;60;0.23571423894696114;0.2767177099398005;0.23794403910794035;0.021816791176632228;0.1575101778029899;0.24556891690805324;0.23794403910794035
2;0.47628829551605756;129;70;0.2664120555932809;0.30527453630970197;0.2550928413664664;0.023567835517016897;0.16262636454557614;0.26378627081116546;0.25509284136646637
2;0.33841228287909936;130;61;0.22391164553346288;0.2622572260834218;0.2289218918776307;0.01701987624899542;0.17158760906737683;0.2343570020798857;0.22892189187763068
2;0.41245133234419706;129;67;0.24218294799865728;0.2874046460185611;0.2397953455360344;0.021565553743997087;0.1704456744440419;0.24631540008314484;0.23979534553603443
0;0.33628620264893117;129;68;0.23212867627907963;0.2662841291386965;0.23443452862505634;0.013816203842028849;0.1987641495918917;0.23778815400424277;0.23443452862505634
0;0.37018464101603094;129;69;0.2291046105757484;0.2659892894673675;0.2266335224693822;0.017293157244961558;0.16822797835911193;0.23212464200111704;0.2266335224693822
1;0.32583778351729353;128;74;0.22454874584886098;0.26587477468039744;0.22367527761320302;0.015972672299530907;0.18186567192485076;0.22757353978058673;0.22367527761320302
2;0.36855048819808867;128;77;0.2184883862860178;0.2605381271974352;0.22718026025563023;0.01646761678986049;0.16779928972869662;0.23271684896668243;0.22718026025563023
0;0.3092601182011625;128;76;0.21585254700698053;0.24375981674582028;0.22559015233696564;0.00931190760054629;0.2013041705697008;0.2278545392490736;0.22559015233696567
0;0.34558605613956184;128;75;0.22703036380520455;0.26634390049159684;0.22534116896624998;0.019083991700750865;0.17349549271214432;0.23017517863834094;0.22534116896624998
4;0.3937554366381536;129;71;0.24882523278974666;0.29456495661714477;0.2514505400786721;0.02103696707354866;0.16688145781252406;0.2594014794370279;0.2514505400786721
4;0.33289279589531273;130;62;0.224057317819817;0.2621751418205242;0.22960121518349566;0.015316190564319635;0.1840430675101601;0.23391998470634215;0.22960121518349566
3;0.3593696669554982;129;72;0.2554203422443606;0.2703224316577869;0.2340639736507318;0.017596446344191607;0.17096371335221838;0.23999647675572025;0.2340639736507318
6;0.3358971822609918;130;63;0.2265176390569958;0.2847040716462075;0.23877985063240237;0.01990926688237118;0.16316212464943758;0.24594817390805046;0.23877985063240237
17;0.33968855805585946;130;65;0.24861136515292437;0.24861136515292437;0.2217550173775021;0.012786200264284961;0.18452634628075362;0.22528417864326664;0.2217550173775021
